Basename	Plane	X	Y	Z	Xnorm	Ynorm	Znorm
Position_1_3	1	371.194	389.009	55.1679	-0.0788609	0.00221553	0.996883
Position_1_3	2	363.684	389.22	150.104	0.0788609	-0.00221553	-0.996883
Position_1_7	1	379.831	382.331	151.524	-0.0303752	-0.0131373	-0.999452
Position_1_7	2	377.197	381.192	64.8636	0.0303752	0.0131373	0.999452
Position_1	1	368.123	389.944	162.127	0.00683574	-0.0157648	-0.999852
Position_1	2	368.789	388.33	63.9694	-0.0082301	-0.00226284	0.999964
Position_2_2	1	396.005	387.56	212.884	0.149558	0.00418644	-0.988744
Position_2_2	2	411.123	387.983	112.938	-0.141729	0.0107021	0.989848
Position_2_3	1	398.117	380.843	148.26	0.0475045	-0.0246551	-0.998567
Position_2_3	2	402.99	378.267	49.655	-0.00847219	-0.000567385	0.999964
Position_2_5	1	383.612	389.741	25.121	0.0372215	-0.0314415	0.998812
Position_2_5	2	388.026	386.002	141.196	-0.0672815	0.061615	-0.99583
Position_2_6	1	381.648	386.457	180.419	0.0830204	-0.0346129	-0.995947
Position_2_6	2	389.36	383.27	79.6165	-0.0203009	0.00584622	0.999777
Position_2_8	1	384.386	386.415	146.583	0.0230585	-0.0302531	-0.999276
Position_2_8	2	386.677	383.411	47.3312	-0.0232997	0.00970834	0.999681
Position_3_5	1	380.039	383.375	82.1107	-0.192567	-0.0302416	-0.980818
Position_3_5	2	360.669	380.273	-16.6424	0.19949	0.00767083	0.97987
Position_3_8	1	382.826	386.371	128.241	0.00152255	-0.024576	-0.999697
Position_3_8	2	382.945	384.056	38.8287	-0.00472964	0.00200605	0.999987
Position_4_5	1	377.099	385.03	127.772	0.00633292	-0.0321192	-0.999464
Position_4_5	2	377.524	381.909	37.0729	-0.0222997	0.0114115	0.999686
Position_4_8	1	396.996	387.855	137.769	-0.0987071	-0.0174656	-0.994963
Position_4_8	2	382.792	386.04	28.0296	0.0154771	-0.000551217	0.99988
Position_4_10	1	406.728	388.419	119.513	0.00763167	-0.0157748	-0.999846
Position_4_10	2	407.435	386.958	26.8913	-0.00763167	0.0157748	0.999846
Position_8_6	1	360.493	381.141	139.954	-0.0387522	-0.0143961	-0.999145
Position_8_6	2	357.254	379.942	56.0333	0.0547125	0.0226593	0.998245
Position_8_7	1	396.907	384.601	224.163	0.0473209	-0.0268606	-0.998519
Position_8_7	2	401.395	382.054	129.462	-0.0473209	0.0268606	0.998519
Position_9_3	1	381.199	385.798	145.867	-0.0690831	-0.0317855	-0.997104
Position_9_3	2	375.883	383.252	69.0541	0.0689314	0.00397928	0.997613
Position_10_8	1	445.461	388.068	247.524	0.130147	-0.03214	-0.990974
Position_10_8	2	457.67	385.053	154.557	-0.118367	0.0276787	0.992584
