Basename	Plane	X	Y	Z	Xnorm	Ynorm	Znorm
Position_1_2	1	343.147	371.974	67.2682	0.004246	0.00236394	0.999988
Position_1_2	2	343.473	372.107	138.921	0.00112212	-0.0111523	-0.999937
Position_1_3	1	423.828	413.789	147.657	0.170721	-0.00116188	-0.985319
Position_1_3	2	437.816	413.5	68.7834	-0.131888	-0.0202409	0.991058
Position_1_4	1	425.874	364.993	123.319	0.0120162	-0.0228813	-0.999666
Position_1_4	2	426.8	363.353	46.2542	-0.0118023	-0.0123678	0.999854
Position_1_5	1	368.386	383.197	146.983	-0.0507284	0.00481528	-0.998701
Position_1_5	2	361.414	383.859	9.71228	0.0507284	-0.00481528	0.998701
Position_1_6	1	340.263	317.33	138.565	0.0168113	-0.0112577	-0.999795
Position_1_6	2	341.704	316.363	45.5866	-0.0488984	0.0321103	0.998287
Position_1_8	1	357.882	316.165	43.8913	-0.0153893	-0.0166912	0.999742
Position_1_8	2	356.719	314.658	128.559	0.0622453	-0.0376727	-0.99735
Position_1_9	1	375.17	388.468	145.189	0.000356485	-0.0107802	-0.999942
Position_1_9	2	375.208	387.243	39.5143	-0.00123323	0.00580814	0.999982
Position_1_11	1	363.654	383.684	133.519	-0.0265496	-0.0268254	-0.999288
Position_1_11	2	361.342	381.342	36.4171	-0.0233243	-0.0217946	0.99949
Position_2_3	1	354.319	389.664	223.182	0.162441	0.0247537	-0.0986408
Position_2_3	2	370.916	392.193	122.395	-0.162441	-0.0247537	0.0986408
Position_2_4	1	398.598	379.259	132.497	-0.031605	-0.0069299	-0.999476
Position_2_4	2	395.015	378.379	44.1348	-0.0111201	-0.00897221	0.999898
Position_2_7	1	389.916	391.055	135.236	-0.00406536	-0.00600654	-0.999974
Position_2_7	2	389.687	390.725	45.9564	0.017959	0.0291679	0.999413
Position_2_8	1	394.853	371.121	242.662	-0.0269017	0.0219295	-0.999398
Position_2_8	2	392.114	373.354	140.894	0.0321617	0.0283427	0.999081
Position_2	1	395.938	388.908	139.374	-0.0300235	-0.00100421	-0.999549
Position_2	2	392.916	388.807	38.7747	0.0381456	0.00575721	0.999256
Position_3_2	1	407.787	388.221	142.004	-0.00821234	-0.0249571	-0.999655
Position_3_2	2	404.6	383.39	50.8593	-0.0470035	-0.0310959	0.998411
Position_3_3	1	458.822	390.228	82.4366	0.173867	-0.0152171	0.984652
Position_3_3	2	474.212	388.756	169.676	-0.17819	-0.0069378	-0.983972
Position_3	1	376.464	378.829	144.778	-0.103689	-0.00627783	-0.99459
Position_3	2	366.634	378.234	50.4881	0.126392	0.0218702	0.991739
Position_4_4	1	384.671	375.818	151.997	-0.0586433	0.00053186	-0.998279
Position_4_4	2	380.191	375.838	74.6774	0.0407025	0.00554707	0.999156
Position_4_7	1	419.313	403.452	136.083	-0.0171009	-0.0259073	-0.999518
Position_4_7	2	417.708	400.819	41.6523	0.0181774	0.00701893	0.99981
Position_6_3	1	345.405	404.481	224.235	0.0232223	-0.0305603	-0.999263
Position_6_3	2	347.874	401.402	117.081	-0.019629	-0.00705617	0.999782
Position_6_7	1	390.292	442.83	134.126	0.0336404	-0.0135292	-0.999342
Position_6_7	2	394.42	441.17	11.5129	-0.0336404	0.0135292	0.999342
